 YSI data from 1 mab at station  7 2007, times are edt                                         
     date    depth     temp     cond       do     turb      chl     batv        
 206.2292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.200
 206.2500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.300
 206.2708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.200
 206.2917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.200
 206.3125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.100
 206.3333   24.218   10.150  188.000    6.870   -3.000  -50.000   14.900
 206.3542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.200
 206.3750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.000
 206.3958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   11.000
 206.4167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.800
 206.4375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.700
 206.4583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.700
 206.4792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.700
 206.5000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.700
 206.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.600
 206.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.500
 206.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.500
 206.5833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.400
 206.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.200
 206.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.100
 206.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.000
 206.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.000
 206.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   10.000
 206.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.900
 206.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.900
 206.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.900
 206.8125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 206.9375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 206.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 206.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.0000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.0208   24.139   10.170  188.000    6.680    0.000  413.300   13.400
 207.0417   24.240   10.170  189.000    6.800   -3.200  -50.000   14.300
 207.0625   24.191   10.170  188.000    6.800   -2.900  -50.000   14.000
 207.0833   24.217   10.170  188.000    6.800   -1.800  -50.000   13.800
 207.1042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 207.1250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 207.1458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.1667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.1875   24.210   10.180  188.000    6.990   -3.300   72.100   14.100
 207.2083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.800
 207.2292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.2500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.2708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.2917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.3125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.3333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.3542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.3750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.500
 207.3958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.4167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.4375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.700
 207.4583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.4792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.5000 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.600
 207.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.500
 207.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.500
 207.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000    9.500
